filename,split,method,similar_0,score_0,similar_1,score_1,similar_2,score_2,similar_3,score_3,similar_4,score_4,similar_5,score_5,similar_6,score_6,similar_7,score_7,similar_8,score_8,similar_9,score_9
CXR2384_IM-0942,train,KLDiv,CXR2165_IM-0781-0001,0.006792956497520208,CXR418_IM-2061,0.007915745489299297,CXR1441_IM-0285,0.008084683679044247,CXR2593_IM-1084,0.008174203336238861,CXR1905_IM-0587,0.008196060545742512,CXR3706_IM-1851,0.008210073225200176,CXR1222_IM-0150,0.009740065783262253,CXR590_IM-2185,0.01008208654820919,CXR3903_IM-1982,0.010363109409809113,CXR2466_IM-0997,0.010629110038280487
CXR2926_IM-1328,train,KLDiv,CXR1212_IM-0143,0.004311125725507736,CXR3872_IM-1964,0.005017722491174936,CXR1671_IM-0442,0.006487982347607613,CXR3856_IM-1951,0.006707536522299051,CXR2680_IM-1154,0.007260291837155819,CXR3647_IM-1809,0.00754210352897644,CXR2803_IM-1234,0.007974913343787193,CXR3678_IM-1831,0.008152416907250881,CXR664_IM-2240,0.008493337780237198,CXR1263_IM-0179,0.008583037182688713
CXR1451_IM-0291,train,KLDiv,CXR72_IM-2280,0.008750643581151962,CXR1327_IM-0211,0.008824465796351433,CXR1521_IM-0337,0.008924538269639015,CXR3075_IM-1436,0.009169047698378563,CXR1052_IM-0040,0.009356400929391384,CXR2837_IM-1252,0.00965931173413992,CXR1948_IM-0616,0.009836439974606037,CXR409_IM-2055,0.010258844122290611,CXR1905_IM-0587,0.010730474255979061,CXR907_IM-2412,0.010937072336673737
CXR2887_IM-1289,train,KLDiv,CXR587_IM-2182,0.006589327938854694,CXR1243_IM-0165,0.006959861144423485,CXR1870_IM-0563,0.007304742932319641,CXR1898_IM-0581,0.008546652272343636,CXR1112_IM-0078,0.009962864220142365,CXR1311_IM-0203,0.010798890143632889,CXR57_IM-2170-1001,0.011686401441693306,CXR593_IM-2186,0.011877119541168213,CXR1518_IM-0335,0.012767517939209938,CXR359_IM-1768,0.013358784839510918
CXR1647_IM-0424,train,KLDiv,CXR3971_IM-2031,0.002148127881810069,CXR1786_IM-0512,0.003288963343948126,CXR431_IM-2072,0.005511199124157429,CXR1599_IM-0389,0.00576430931687355,CXR3663_IM-1822,0.006138332188129425,CXR575_IM-2173,0.00661004614084959,CXR3796_IM-1909,0.007216591387987137,CXR3821_IM-1929,0.007347118109464645,CXR193_IM-0601,0.007445760536938906,CXR2815_IM-1240,0.007637079805135727
CXR2434_IM-0976,train,KLDiv,CXR3948_IM-2017,0.007340281270444393,CXR143_IM-0276,0.00737383496016264,CXR3246_IM-1538,0.008588030934333801,CXR1088_IM-0061,0.008875355124473572,CXR3064_IM-1428,0.00892111100256443,CXR2386_IM-0942,0.009052441455423832,CXR989_IM-2475,0.009197576902806759,CXR3659_IM-1819,0.009722322225570679,CXR2745_IM-1197,0.010981263592839241,CXR361_IM-1783,0.011022677645087242
CXR3655_IM-1817,train,KLDiv,CXR142_IM-0267,0.0013218751410022378,CXR1211_IM-0142,0.0015894360840320587,CXR718_IM-2280,0.0016602100804448128,CXR1927_IM-0600,0.0022767093032598495,CXR538_IM-2144,0.002385068917647004,CXR3315_IM-1586,0.002766223857179284,CXR952_IM-2447,0.002766773570328951,CXR3134_IM-1474,0.0028423862531781197,CXR219_IM-0799,0.0028642353136092424,CXR3757_IM-1881,0.0030834609642624855
CXR3299_IM-1575,train,KLDiv,CXR3273_IM-1554,0.0032715024426579475,CXR3479_IM-1690,0.0037524141371250153,CXR465_IM-2093-0001,0.004610680043697357,CXR3536_IM-1729,0.0053510214202106,CXR295_IM-1348,0.0056205447763204575,CXR1100_IM-0068,0.005947078578174114,CXR3116_IM-1464,0.006198456045240164,CXR1565_IM-0368,0.006909504532814026,CXR3082_IM-1441,0.0075931428000330925,CXR3695_IM-1845,0.007810881361365318
CXR1419_IM-0267,train,KLDiv,CXR3617_IM-1789,0.0029354048892855644,CXR496_IM-2114,0.003254824550822377,CXR492_IM-2112,0.004525469616055489,CXR843_IM-2366,0.0047692107036709785,CXR2711_IM-1178-0001,0.005327961407601833,CXR1075_IM-0054,0.005399934481829405,CXR99_IM-2476,0.005959358997642994,CXR1624_IM-0406,0.00623602420091629,CXR763_IM-2310,0.006330858916044235,CXR2501_IM-1027,0.007082338910549879
CXR2867_IM-1274,train,KLDiv,CXR99_IM-2476,0.005220424383878708,CXR3928_IM-2000,0.006074024364352226,CXR2132_IM-0755,0.007692025508731604,CXR1075_IM-0054,0.007769512943923473,CXR110_IM-0067,0.00778474286198616,CXR1924_IM-0598,0.008320684544742107,CXR165_IM-0427,0.008666270412504673,CXR2501_IM-1027,0.009062584489583969,CXR2774_IM-1215,0.009432611986994743,CXR492_IM-2112,0.00962691567838192
